reported_name,accepted_name,species_name
Chamaecrista_debilis,Chamaecrista_debilis,Chamaecrista_debilis
Chamaecrista_decora,Chamaecrista_decora,Chamaecrista_decora
Chamaecrista_cytisoides_var_decora,Chamaecrista_decora,Chamaecrista_decora
Chamaecrista_decrescens,Chamaecrista_decrescens,Chamaecrista_decrescens
Chamaecrista_decumbens,Chamaecrista_decumbens,Chamaecrista_decumbens
Chamaecrista_deeringiana,Chamaecrista_deeringiana,Chamaecrista_deeringiana
Chamaecrista_deltoidea,Chamaecrista_deltoidea,Chamaecrista_deltoidea
Chamaecrista_densifolia,Chamaecrista_densifolia,Chamaecrista_densifolia
Chamaecrista_dentata,Chamaecrista_dentata,Chamaecrista_dentata
Chamaecrista_depauperata,Chamaecrista_depauperata,Chamaecrista_depauperata
Chamaecrista_deserti,Chamaecrista_deserti,Chamaecrista_deserti
Chamaecrista_desertorum,Chamaecrista_desertorum,Chamaecrista_desertorum
Chamaecrista_desvauxii,Chamaecrista_desvauxii,Chamaecrista_desvauxii
Chamaecrista_tetraphylla,Chamaecrista_desvauxii,Chamaecrista_desvauxii
Chamaecrista_desvauxii_var_brevipes,Chamaecrista_desvauxii_var_brevipes,Chamaecrista_desvauxii
Chamaecrista_langsdorffii_var_brevipes,Chamaecrista_desvauxii_var_brevipes,Chamaecrista_desvauxii
Chamaecrista_brevipes,Chamaecrista_desvauxii_var_brevipes,Chamaecrista_desvauxii
Chamaecrista_desvauxii_var_chapadicola,Chamaecrista_desvauxii_var_chapadicola,Chamaecrista_desvauxii
Chamaecrista_langsdorffii_var_circumdata,Chamaecrista_desvauxii_var_circumdata,Chamaecrista_desvauxii
Chamaecrista_desvauxii_var_desvauxii,Chamaecrista_desvauxii_var_desvauxii,Chamaecrista_desvauxii
Chamaecrista_uniflora,Chamaecrista_desvauxii_var_desvauxii,Chamaecrista_desvauxii
Chamaecrista_linearis_var_graminea,Chamaecrista_desvauxii_var_graminea,Chamaecrista_desvauxii
Chamaecrista_desvauxii_var_latifolia,Chamaecrista_desvauxii_var_latifolia,Chamaecrista_desvauxii
Chamaecrista_desvauxii_var_malacophylla,Chamaecrista_desvauxii_var_malacophylla,Chamaecrista_desvauxii
Chamaecrista_desvauxii_var_modesta,Chamaecrista_desvauxii_var_modesta,Chamaecrista_desvauxii
Chamaecrista_linearis_var_modesta,Chamaecrista_desvauxii_var_modesta,Chamaecrista_desvauxii
Chamaecrista_desvauxii_var_mollissima,Chamaecrista_desvauxii_var_mollissima,Chamaecrista_desvauxii
Chamaecrista_madrensis,Chamaecrista_desvauxii_var_mollissima,Chamaecrista_desvauxii
Chamaecrista_persoonii,Chamaecrista_desvauxii_var_mollissima,Chamaecrista_desvauxii
Chamaecrista_pulchra,Chamaecrista_desvauxii_var_mollissima,Chamaecrista_desvauxii
Chamaecrista_desvauxii_var_peronadenia,Chamaecrista_desvauxii_var_peronadenia,Chamaecrista_desvauxii
Chamaecrista_langsdorffii_var_piptostegia,Chamaecrista_desvauxii_var_piptostegia,Chamaecrista_desvauxii
Chamaecrista_desvauxii_var_pirebebuiensis,Chamaecrista_desvauxii_var_pirebebuiensis,Chamaecrista_desvauxii
Chamaecrista_desvauxii_var_saxatilis,Chamaecrista_desvauxii_var_saxatilis,Chamaecrista_desvauxii
Chamaecrista_detonsa,Chamaecrista_detonsa,Chamaecrista_detonsa
Chamaecrista_setosa_var_detonsa,Chamaecrista_detonsa,Chamaecrista_detonsa
Chamaecrista_didyma,Chamaecrista_didyma,Chamaecrista_didyma
Chamaecrista_diphylla,Chamaecrista_diphylla,Chamaecrista_diphylla
Chamaecrista_distichoclada,Chamaecrista_distichoclada,Chamaecrista_distichoclada
Chamaecrista_duartei,Chamaecrista_duartei,Chamaecrista_duartei
Chamaecrista_duboisii,Chamaecrista_duboisii,Chamaecrista_duboisii
Chamaecrista_duckeana,Chamaecrista_duckeana,Chamaecrista_duckeana
Chamaecrista_dumalis,Chamaecrista_dumalis,Chamaecrista_dumalis
Chamaecrista_dumaziana,Chamaecrista_dumaziana,Chamaecrista_dumaziana
Chamaecrista_dunensis,Chamaecrista_dunensis,Chamaecrista_dunensis
Chamaecrista_kirkbridei,Chamaecrista_echinocarpa,Chamaecrista_echinocarpa
Chamaecrista_egleri,Chamaecrista_egleri,Chamaecrista_egleri
Chamaecrista_eitenorum,Chamaecrista_eitenorum,Chamaecrista_eitenorum
Chamaecrista_eitenorum_var_eitenorum,Chamaecrista_eitenorum_var_eitenorum,Chamaecrista_eitenorum
Chamaecrista_eitenorum_var_regana,Chamaecrista_eitenorum_var_regana,Chamaecrista_eitenorum
Chamaecrista_elachistophylla,Chamaecrista_elachistophylla,Chamaecrista_elachistophylla
Chamaecrista_elata,Chamaecrista_elata,Chamaecrista_elata
Chamaecrista_ensiformis,Chamaecrista_ensiformis,Chamaecrista_ensiformis
Chamaecrista_ensiformis_var_ensiformis,Chamaecrista_ensiformis_var_ensiformis,Chamaecrista_ensiformis
Chamaecrista_ensiformis_var_maranonica,Chamaecrista_ensiformis_var_maranonica,Chamaecrista_ensiformis
Chamaecrista_ensiformis_var_plurifoliolata,Chamaecrista_ensiformis_var_plurifoliolata,Chamaecrista_ensiformis
Chamaecrista_ericifolia,Chamaecrista_ericifolia,Chamaecrista_ericifolia
Chamaecrista_exigua,Chamaecrista_exigua,Chamaecrista_exigua
Chamaecrista_exigua_var_exigua,Chamaecrista_exigua_var_exigua,Chamaecrista_exigua
Chamaecrista_exigua_var_minor,Chamaecrista_exigua_var_minor,Chamaecrista_exigua
Chamaecrista_exilis,Chamaecrista_exilis,Chamaecrista_exilis
Chamaecrista_exsudans,Chamaecrista_exsudans,Chamaecrista_exsudans
Chamaecrista_amphibola_,Chamaecrista_exsudans,Chamaecrista_exsudans
Chamaecrista_ixodes_,Chamaecrista_exsudans,Chamaecrista_exsudans
Chamaecrista_fagonioides,Chamaecrista_fagonioides,Chamaecrista_fagonioides
Chamaecrista_fagonioides_var_fagonioides,Chamaecrista_fagonioides,Chamaecrista_fagonioides
Chamaecrista_fagonioides_var_macrocalyx,Chamaecrista_fagonioides,Chamaecrista_fagonioides
Chamaecrista_falcata,Chamaecrista_falcata,Chamaecrista_falcata
Chamaecrista_falcifoliolata,Chamaecrista_falcifoliolata,Chamaecrista_falcifoliolata
Chamaecrista_falcinella,Chamaecrista_falcinella,Chamaecrista_falcinella
Chamaecrista_falcinella_var_falcinella,Chamaecrista_falcinella_var_falcinella,Chamaecrista_falcinella
Chamaecrista_falcinella_var_intermedia,Chamaecrista_falcinella_var_intermedia,Chamaecrista_falcinella
Chamaecrista_falcinella_var_parviflora,Chamaecrista_falcinella_var_parviflora,Chamaecrista_falcinella
Chamaecrista_fallacina,Chamaecrista_fallacina,Chamaecrista_fallacina
Chamaecrista_fasciculata,Chamaecrista_fasciculata,Chamaecrista_fasciculata
Chamaecrista_bellula,Chamaecrista_fasciculata,Chamaecrista_fasciculata
Chamaecrista_brachiata,Chamaecrista_fasciculata,Chamaecrista_fasciculata
Chamaecrista_camporum,Chamaecrista_fasciculata,Chamaecrista_fasciculata
Chamaecrista_depressa,Chamaecrista_fasciculata,Chamaecrista_fasciculata
Chamaecrista_fasciculata_var_depressa,Chamaecrista_fasciculata,Chamaecrista_fasciculata
Chamaecrista_fasciculata_var_macrosperma,Chamaecrista_fasciculata,Chamaecrista_fasciculata
Chamaecrista_fasciculata_var_robusta,Chamaecrista_fasciculata,Chamaecrista_fasciculata
Chamaecrista_ferrisiae,Chamaecrista_fasciculata,Chamaecrista_fasciculata
Chamaecrista_littoralis,Chamaecrista_fasciculata,Chamaecrista_fasciculata
Chamaecrista_mississippiensisr,Chamaecrista_fasciculata,Chamaecrista_fasciculata
Chamaecrista_puberula,Chamaecrista_fasciculata,Chamaecrista_fasciculata
Chamaecrista_robustar,Chamaecrista_fasciculata,Chamaecrista_fasciculata
Chamaecrista_rostrata,Chamaecrista_fasciculata,Chamaecrista_fasciculata
Chamaecrista_tracyi,Chamaecrista_fasciculata,Chamaecrista_fasciculata
Chamaecrista_chamaecrista,Chamaecrista_fasciculata,Chamaecrista_fasciculata
Chamaecrista_feliciana,Chamaecrista_feliciana,Chamaecrista_feliciana
Chamaecrista_fenarolii,Chamaecrista_fenarolii,Chamaecrista_fenarolii
Chamaecrista_filicifolia,Chamaecrista_filicifolia,Chamaecrista_filicifolia
Chamaecrista_flammata,Chamaecrista_flammata,Chamaecrista_flammata
Chamaecrista_flexuosa,Chamaecrista_flexuosa,Chamaecrista_flexuosa
Chamaecrista_flexuosa_var_flexuosa,Chamaecrista_flexuosa_var_flexuosa,Chamaecrista_flexuosa
Chamaecrista_amplistipulata,Chamaecrista_flexuosa_var_flexuosa,Chamaecrista_flexuosa
Chamaecrista_flexuosa_var_texana,Chamaecrista_flexuosa_var_texana,Chamaecrista_flexuosa
Chamaecrista_texana,Chamaecrista_flexuosa_var_texana,Chamaecrista_flexuosa
Chamaecrista_floribunda,Chamaecrista_floribunda,Chamaecrista_floribunda
Chamaecrista_fodinarum,Chamaecrista_fodinarum,Chamaecrista_fodinarum
Chamaecrista_foederalis,Chamaecrista_foederalis,Chamaecrista_foederalis
Chamaecrista_forzzae,Chamaecrista_forzzae,Chamaecrista_forzzae
Chamaecrista_fragilis,Chamaecrista_fragilis,Chamaecrista_fragilis
Chamaecrista_frondosa,Chamaecrista_frondosa,Chamaecrista_frondosa
Chamaecrista_fulgida,Chamaecrista_fulgida,Chamaecrista_fulgida
Chamaecrista_fuscescens,Chamaecrista_fuscescens,Chamaecrista_fuscescens
Chamaecrista_garambiensis,Chamaecrista_garambiensis,Chamaecrista_garambiensis
Chamaecrista_geminata,Chamaecrista_geminata,Chamaecrista_geminata
Chamaecrista_geraldii,Chamaecrista_geraldii,Chamaecrista_geraldii
Chamaecrista_ghesquiereana,Chamaecrista_ghesquiereana,Chamaecrista_ghesquiereana
Chamaecrista_gilliesii,Chamaecrista_gilliesii,Chamaecrista_gilliesii
